YEAR,COW,PHYSINT,DISAP,KILL,POLPRIS,TORT,INJUD
1989,346,,,,,,
1990,346,,,,,,
1991,346,,,,,,
1992,346,,-77,-77,-77,-77,-77
1993,346,,-77,-77,-77,-77,-77
1994,346,,-77,-77,-77,-77,-77
1995,346,,-66,-66,-66,-66,-66
1996,346,,-66,-66,-66,-66,-66
1997,346,,-66,-66,-66,-66,-66
1998,346,,-66,-66,-66,-66,-66
1999,346,,-66,-66,-66,-66,-66
2000,346,,-66,-66,-66,-66,-66
2001,346,6,2,2,2,0,1
2002,346,6,2,2,2,0,1
2003,346,6,2,2,2,0,1
2004,346,7,2,2,2,1,1
2005,346,7,2,2,2,1,1
2006,346,7,2,2,2,1,1
2007,346,6,2,2,2,0,1
2008,346,7,2,2,2,1,0
2009,346,6,2,2,2,0,1
2010,346,6,2,2,2,0,1
1981,571,8,2,2,2,2,2
1982,571,8,2,2,2,2,2
1983,571,6,2,1,2,1,2
1984,571,7,2,2,2,1,2
1985,571,8,2,2,2,2,2
1986,571,8,2,2,2,2,2
1987,571,7,2,2,2,1,2
1988,571,7,2,2,2,1,2
1989,571,7,2,2,2,1,2
1990,571,7,2,2,2,1,2
1991,571,7,2,2,2,1,2
1992,571,7,2,2,2,1,2
1993,571,6,2,1,2,1,2
1994,571,7,2,2,2,1,2
1995,571,6,2,1,2,1,2
1996,571,7,2,2,2,1,2
1997,571,7,2,2,2,1,2
1998,571,6,2,1,2,1,2
1999,571,7,2,2,2,1,2
2000,571,7,2,2,2,1,2
2001,571,7,2,2,2,1,2
2002,571,7,2,2,2,1,2
2003,571,7,2,2,2,1,2
2004,571,7,2,2,2,1,2
2005,571,7,2,2,2,1,2
2006,571,6,2,1,2,1,2
2007,571,7,2,2,2,1,2
2008,571,6,2,1,2,1,2
2009,571,6,2,1,2,1,2
2010,571,7,2,2,2,1,2
1981,140,4,2,0,1,1,2
1982,140,4,2,0,2,0,2
1983,140,5,2,1,2,0,2
1984,140,4,2,0,2,0,2
1985,140,5,2,1,2,0,2
1986,140,5,2,1,2,0,2
1987,140,4,2,0,1,1,2
1988,140,5,2,1,2,0,2
1989,140,4,2,0,2,0,2
1990,140,3,1,0,2,0,2
1991,140,4,2,0,2,0,2
1992,140,3,1,0,2,0,2
1993,140,3,1,0,2,0,2
1994,140,4,2,0,2,0,1
1995,140,2,1,0,1,0,1
1996,140,4,2,0,2,0,1
1997,140,4,2,0,2,0,1
1998,140,2,1,0,1,0,1
1999,140,4,2,0,2,0,1
2000,140,2,2,0,0,0,1
2001,140,3,2,0,1,0,1
2002,140,4,2,0,2,0,1
2003,140,4,2,0,2,0,1
2004,140,4,2,0,2,0,1
2005,140,4,2,0,2,0,1
2006,140,2,1,0,1,0,1
2007,140,4,2,0,2,0,1
2008,140,4,2,0,2,0,0
2009,140,3,2,0,1,0,0
2010,140,4,2,0,2,0,0
1981,835,,,,,,
1982,835,,,,,,
1983,835,,,,,,
1984,835,6,2,2,1,1,2
1985,835,7,2,2,1,2,2
1986,835,7,2,2,1,2,2
1987,835,7,2,2,1,2,2
1988,835,6,2,2,1,1,2
1989,835,6,2,2,1,1,2
1990,835,6,2,2,1,1,2
1991,835,6,2,2,1,1,2
1992,835,6,2,2,1,1,2
1993,835,7,2,2,2,1,2
1994,835,6,2,2,1,1,2
1995,835,6,2,2,1,1,2
1996,835,7,2,2,1,2,2
1997,835,7,2,2,1,2,1
1998,835,6,2,1,1,2,1
1999,835,8,2,2,2,2,1
2000,835,7,2,1,2,2,1
2001,835,8,2,2,2,2,1
2002,835,8,2,2,2,2,1
2003,835,8,2,2,2,2,1
2004,835,8,2,2,2,2,1
2005,835,8,2,2,2,2,0
2006,835,7,2,2,1,2,0
2007,835,8,2,2,2,2,1
2008,835,8,2,2,2,2,1
2009,835,8,2,2,2,2,1
2010,835,8,2,2,2,2,1
1981,355,3,1,2,0,0,1
1982,355,5,2,2,1,0,1
1983,355,5,2,2,1,0,1
1984,355,3,2,1,0,0,1
1985,355,2,2,0,0,0,1
1986,355,3,2,1,0,0,1
1987,355,3,2,1,0,0,1
1988,355,5,2,2,0,1,1
1989,355,5,2,2,0,1,1
1990,355,3,2,1,0,0,1
1991,355,5,2,1,1,1,2
1992,355,6,2,2,1,1,1
1993,355,3,2,1,0,0,1
1994,355,4,2,1,1,0,1
1995,355,5,2,1,2,0,1
1996,355,4,2,1,1,0,1
1997,355,5,2,1,2,0,1
1998,355,4,2,1,1,0,1
1999,355,5,2,1,2,0,1
2000,355,4,2,1,1,0,1
2001,355,5,2,1,2,0,1
2002,355,6,2,2,2,0,1
2003,355,5,2,1,2,0,1
2004,355,5,2,1,2,0,1
2005,355,6,2,1,2,1,1
2006,355,6,2,2,2,0,1
2007,355,6,2,2,2,0,1
2008,355,6,2,2,1,1,1
2009,355,6,2,1,2,1,1
2010,355,5,2,1,1,1,0
1981,439,6,2,1,1,2,1
1982,439,6,2,2,1,1,2
1983,439,5,2,1,1,1,1
1984,439,5,2,1,0,2,1
1985,439,4,2,1,0,1,1
1986,439,6,2,2,1,1,1
1987,439,5,2,1,0,2,1
1988,439,4,2,1,0,1,1
1989,439,3,2,1,0,0,0
1990,439,3,2,1,0,0,0
1991,439,5,2,1,2,0,1
1992,439,4,2,0,2,0,1
1993,439,6,2,1,2,1,0
1994,439,6,2,1,2,1,0
1995,439,5,2,1,1,1,0
1996,439,6,2,1,2,1,0
1997,439,7,2,2,2,1,0
1998,439,4,2,1,1,0,0
1999,439,6,2,1,2,1,0
2000,439,4,2,1,1,0,0
2001,439,4,2,0,2,0,0
2002,439,4,2,0,2,0,0
2003,439,5,2,1,2,0,0
2004,439,4,2,1,1,0,0
2005,439,5,2,1,2,0,0
2006,439,5,2,1,2,0,0
2007,439,6,2,2,2,0,0
2008,439,6,2,2,2,0,0
2009,439,5,2,2,1,0,0
2010,439,5,2,1,2,0,0
1981,775,,2,-999,0,0,1
1982,775,6,2,2,1,1,1
1983,775,4,2,0,1,1,0
1984,775,5,2,0,2,1,1
1985,775,5,2,1,2,0,0
1986,775,4,2,1,1,0,1
1987,775,1,1,0,0,0,1
1988,775,0,0,0,0,0,0
1989,775,0,0,0,0,0,0
1990,775,2,1,1,0,0,1
1991,775,2,1,1,0,0,0
1992,775,3,2,0,0,1,0
1993,775,1,1,0,0,0,0
1994,775,3,2,1,0,0,0
1995,775,2,2,0,0,0,0
1996,775,2,1,1,0,0,0
1997,775,1,0,1,0,0,0
1998,775,1,0,1,0,0,0
1999,775,1,0,1,0,0,0
2000,775,0,0,0,0,0,0
2001,775,1,0,1,0,0,0
2002,775,3,0,1,1,1,0
2003,775,0,0,0,0,0,0
2004,775,1,0,1,0,0,0
2005,775,1,0,1,0,0,0
2006,775,0,0,0,0,0,0
2007,775,0,0,0,0,0,0
2008,775,0,0,0,0,0,0
2009,775,1,0,1,0,0,0
2010,775,1,0,1,0,0,0
1981,516,6,2,1,1,2,1
1982,516,8,2,2,2,2,1
1983,516,6,2,2,1,1,0
1984,516,4,2,1,0,1,1
1985,516,6,2,2,1,1,1
1986,516,5,2,2,0,1,1
