country	year	INGO_uia
Liechtenstein	1994	198
Liechtenstein	1995	191
Liechtenstein	1996	209
Liechtenstein	1997	213
Liechtenstein	1998	205
Liechtenstein	1999	204
Switzerland	1966	1018
Switzerland	1977	1264
Switzerland	1978	1264
Switzerland	1979	1264
Switzerland	1980	1264
Switzerland	1981	1264
Switzerland	1982	1743
Switzerland	1983	1777
Switzerland	1984	1837
Switzerland	1985	1837
Switzerland	1986	1614
Switzerland	1987	1910
Switzerland	1988	2065
Switzerland	1989	2185
Switzerland	1990	2277
Switzerland	1991	2347
Switzerland	1992	2427
Switzerland	1993	2498
Switzerland	1994	2545
Switzerland	1995	2624
Switzerland	1996	2716
Switzerland	1997	2786
Switzerland	1998	2868
Switzerland	1999	2931
Spain	1966	774
Spain	1977	1091
Spain	1978	1091
Spain	1979	1091
Spain	1980	1091
Spain	1981	1091
Spain	1982	1599
Spain	1983	1639
Spain	1984	1703
Spain	1985	1703
Spain	1986	1579
Spain	1987	1845
Spain	1988	2026
Spain	1989	2150
Spain	1990	2263
Spain	1991	2346
Spain	1992	2453
Spain	1993	2550
Spain	1994	2626
Spain	1995	2720
Spain	1996	2816
Spain	1997	2904
Spain	1998	2982
Spain	1999	3060
Andorra	1984	37
Andorra	1986	44
Andorra	1987	46
Andorra	1988	59
Andorra	1989	51
Andorra	1990	86
Andorra	1991	91
Andorra	1992	99
Andorra	1993	100
Andorra	1994	102
Andorra	1995	125
Andorra	1996	145
Andorra	1997	153
Andorra	1998	158
Andorra	1999	162
Portugal	1966	519
Portugal	1977	695
Portugal	1978	695
Portugal	1979	695
Portugal	1980	695
Portugal	1981	695
Portugal	1982	1096
Portugal	1983	1141
Portugal	1984	1201
Portugal	1985	1201
Portugal	1986	1159
Portugal	1987	1302
Portugal	1988	1415
Portugal	1989	1503
Portugal	1990	1583
Portugal	1991	1663
Portugal	1992	1756
Portugal	1993	1845
Portugal	1994	1922
Portugal	1995	1992
Portugal	1996	2069
Portugal	1997	2116
Portugal	1998	2179
Portugal	1999	2233
Germany West	1984	2140
Germany West	1986	1770
Germany West	1987	2231
Germany West	1988	2406
Germany West	1989	2519
Germany West	1990	2631
Germany West	1991	2733
Germany	1992	2827
Germany	1993	2911
Germany	1994	2974
Germany	1995	3061
Germany	1996	3204
Germany	1997	3291
Germany	1998	3385
Germany	1999	3459
Germany East	1984	690
Germany East	1986	688
Germany East	1987	738
Germany East	1988	793
Germany East	1989	829
Germany East	1990	878
Germany East	1991	0
Poland	1966	483
Poland	1977	670
Poland	1978	670
Poland	1979	670
Poland	1980	670
Poland	1981	670
Poland	1982	935
Poland	1983	970
Poland	1984	995
Poland	1985	995
Poland	1986	955
Poland	1987	1038
Poland	1988	1110
Poland	1989	1177
Poland	1990	1251
Poland	1991	1327
Poland	1992	1433
Poland	1993	1544
Poland	1994	1626
Poland	1995	1704
Poland	1996	1792
Poland	1997	1883
Poland	1998	1971
Poland	1999	2038
Austria	1966	901
Austria	1977	1104
Austria	1978	1104
Austria	1979	1104
Austria	1980	1104
Austria	1981	1104
Austria	1982	1499
Austria	1983	1538
Austria	1984	1579
Austria	1985	1579
Austria	1986	1466
Austria	1987	1657
Austria	1988	1773
Austria	1989	1864
Austria	1990	1946
Austria	1991	2029
Austria	1992	2113
Austria	1993	2174
Austria	1994	2243
Austria	1995	2306
Austria	1996	2405
Austria	1997	2496
Austria	1998	2584
Austria	1999	2626
Hungary	1966	393
Hungary	1977	605
Hungary	1978	605
Hungary	1979	605
Hungary	1980	605
Hungary	1981	605
Hungary	1982	843
Hungary	1983	888
Hungary	1984	910
Hungary	1985	910
Hungary	1986	890
Hungary	1987	974
Hungary	1988	1048
Hungary	1989	1109
Hungary	1990	1178
Hungary	1991	1270
Hungary	1992	1404
Hungary	1993	1517
Hungary	1994	1617
Hungary	1995	1710
Hungary	1996	1800
Hungary	1997	1884
Hungary	1998	1960
Hungary	1999	2002
Czech Rep	1993	1359
Czech Rep	1994	1217
Czech Rep	1995	1116
Czech Rep	1996	1374
Czech Rep	1997	1559
Czech Rep	1998	1809
Czech Rep	1999	1868
Czechoslovakia	1984	878
Czechoslovakia	1986	855
Czechoslovakia	1987	912
Czechoslovakia	1988	964
Czechoslovakia	1989	1009
Czechoslovakia	1990	1060
Czechoslovakia	1991	1142
Czechoslovakia	1992	1261
Slovak Republic	1984	0
Slovak Republic	1986	0
Slovak Republic	1987	0
Slovak Republic	1988	0
Slovak Republic	1989	0
Slovak Republic	1990	0
Slovak Republic	1991	0
Slovak Republic	1992	0
Slovak Republic	1993	23
Slovak Republic	1994	462
Slovak Republic	1995	726
